code,ano,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,prosp_soc,renda_per_capita,gini
320400,2010,0.295,0.121,0.396,0.369,0.667,0.815,0.562,0.648,Alto,451.21,0.5
320405,2010,0.42,0.453,0.423,0.385,0.654,0.812,0.536,0.643,Baixo,437.08,0.46
320410,2010,0.295,0.131,0.42,0.335,0.672,0.816,0.557,0.668,Alto,509.45,0.49
320420,2010,0.258,0.127,0.351,0.296,0.727,0.852,0.643,0.702,Muito Alto,629.9,0.49
320425,2010,0.365,0.196,0.435,0.464,0.669,0.783,0.605,0.631,Médio,405.19,0.5
320430,2010,0.311,0.086,0.43,0.417,0.658,0.808,0.553,0.636,Médio,419.97,0.48
320435,2010,0.252,0.083,0.353,0.32,0.681,0.802,0.58,0.68,Alto,550.55,0.5
320440,2010,0.232,0.115,0.296,0.285,0.711,0.837,0.621,0.692,Muito Alto,594.24,0.48
320450,2010,0.32,0.072,0.477,0.41,0.626,0.797,0.477,0.646,Médio,445.57,0.55
320455,2010,0.278,0.079,0.35,0.404,0.671,0.834,0.521,0.695,Alto,603.33,0.49
320460,2010,0.191,0.02,0.304,0.248,0.714,0.834,0.605,0.722,Muito Alto,716.25,0.48
320501,2010,0.311,0.14,0.427,0.365,0.662,0.802,0.556,0.65,Médio,457.49,0.5
320465,2010,0.257,0.003,0.455,0.314,0.682,0.811,0.575,0.679,Alto,547.57,0.49
320470,2010,0.248,0.097,0.368,0.279,0.709,0.835,0.578,0.739,Muito Alto,792.54,0.6
320480,2010,0.245,0.038,0.332,0.367,0.688,0.814,0.599,0.669,Alto,514.57,0.51
320490,2010,0.282,0.166,0.324,0.355,0.735,0.842,0.655,0.719,Muito Alto,699.99,0.57
320495,2010,0.187,0.05,0.27,0.24,0.7,0.803,0.623,0.686,Muito Alto,572.42,0.43
320503,2010,0.24,0.058,0.358,0.304,0.663,0.814,0.544,0.658,Alto,480.01,0.45
320506,2010,0.166,0.031,0.238,0.23,0.728,0.845,0.625,0.731,Muito Alto,754.66,0.52
320515,2010,0.268,0.044,0.311,0.448,0.681,0.83,0.588,0.647,Alto,449.3,0.48
320517,2010,0.257,0.027,0.4,0.343,0.675,0.816,0.549,0.686,Alto,569.82,0.51
320016,2010,0.315,0.073,0.419,0.452,0.652,0.819,0.546,0.619,Médio,377.39,0.49
320013,2010,0.274,0.027,0.328,0.466,0.678,0.792,0.595,0.66,Alto,487.28,0.53
320130,2010,0.362,0.441,0.371,0.274,0.718,0.844,0.628,0.699,Alto,620.89,0.45
320220,2010,0.268,0.163,0.334,0.307,0.718,0.839,0.623,0.708,Muito Alto,657.18,0.49
320240,2010,0.255,0.137,0.336,0.292,0.731,0.837,0.626,0.746,Muito Alto,830.51,0.58
320500,2010,0.329,0.412,0.313,0.261,0.739,0.844,0.664,0.72,Alto,705.89,0.47
320510,2010,0.371,0.463,0.343,0.307,0.686,0.816,0.589,0.672,Médio,523.61,0.42
320520,2010,0.254,0.318,0.249,0.194,0.8,0.864,0.734,0.807,Muito Alto,1211.79,0.56
320530,2010,0.178,0.159,0.196,0.179,0.845,0.855,0.805,0.876,Muito Alto,1866.58,0.6
310010,2010,0.232,0.062,0.331,0.303,0.689,0.839,0.563,0.693,Alto,596.18,0.47
310020,2010,0.29,0.231,0.334,0.304,0.698,0.848,0.556,0.72,Alto,707.24,0.54
310030,2010,0.282,0.137,0.367,0.343,0.653,0.823,0.525,0.646,Alto,444.32,0.52
310040,2010,0.335,0.005,0.401,0.6,0.63,0.823,0.499,0.61,Médio,357.03,0.48
310080,2010,0.231,0.009,0.337,0.348,0.663,0.845,0.514,0.672,Alto,524.43,0.45
310110,2010,0.28,0.07,0.382,0.387,0.683,0.81,0.575,0.685,Alto,567.46,0.53
310120,2010,0.272,0.132,0.355,0.329,0.668,0.87,0.505,0.677,Alto,539.92,0.49
310130,2010,0.33,0.316,0.336,0.338,0.649,0.832,0.518,0.634,Médio,413.75,0.42
310140,2010,0.231,0.002,0.352,0.339,0.673,0.813,0.549,0.684,Alto,564.08,0.35
310160,2010,0.217,0.133,0.264,0.254,0.761,0.841,0.712,0.737,Muito Alto,783.41,0.51
310163,2010,0.238,0.076,0.334,0.302,0.675,0.834,0.587,0.629,Alto,400.14,0.41
310170,2010,0.402,0.258,0.42,0.529,0.642,0.803,0.518,0.636,Baixo,419.98,0.53
310180,2010,0.338,0.154,0.417,0.442,0.646,0.824,0.521,0.629,Médio,401.21,0.45
310190,2010,0.242,0.134,0.271,0.322,0.725,0.862,0.628,0.703,Muito Alto,633.91,0.47
310200,2010,0.26,0.07,0.35,0.36,0.668,0.847,0.536,0.657,Alto,475.99,0.44
310205,2010,0.233,0.039,0.309,0.349,0.661,0.842,0.514,0.666,Alto,505.1,0.45
315350,2010,0.275,0.077,0.35,0.399,0.66,0.787,0.554,0.66,Alto,486.73,0.51
310210,2010,0.404,0.255,0.489,0.468,0.62,0.828,0.483,0.595,Baixo,323.95,0.46
310220,2010,0.359,0.099,0.484,0.494,0.591,0.797,0.44,0.589,Baixo,312.46,0.52
310230,2010,0.32,0.226,0.375,0.359,0.676,0.822,0.577,0.651,Médio,460.96,0.46
310240,2010,0.543,0.458,0.532,0.64,0.572,0.794,0.414,0.57,Muito Baixo,277.99,0.58
310150,2010,0.279,0.235,0.328,0.274,0.726,0.857,0.626,0.713,Muito Alto,674.5,0.5
310250,2010,0.357,0.219,0.404,0.446,0.641,0.81,0.527,0.616,Médio,368.72,0.46
310260,2010,0.225,0.142,0.297,0.235,0.735,0.878,0.618,0.731,Muito Alto,754.39,0.44
310280,2010,0.3,0.245,0.336,0.319,0.7,0.818,0.621,0.675,Médio,534.68,0.51
310285,2010,0.442,0.281,0.504,0.54,0.597,0.756,0.474,0.594,Muito Baixo,322.8,0.53
310290,2010,0.296,0.131,0.36,0.396,0.683,0.838,0.585,0.65,Alto,457.02,0.47
310300,2010,0.437,0.443,0.439,0.43,0.645,0.849,0.507,0.624,Baixo,387.61,0.48
310310,2010,0.203,0,0.311,0.297,0.684,0.83,0.572,0.674,Alto,529.54,0.47
310330,2010,0.384,0.315,0.374,0.464,0.661,0.823,0.577,0.608,Médio,351.6,0.42
310350,2010,0.192,0.099,0.254,0.224,0.773,0.871,0.716,0.74,Muito Alto,798.63,0.47
310360,2010,0.298,0.295,0.294,0.305,0.697,0.834,0.642,0.633,Alto,411.16,0.42
310370,2010,0.363,0.095,0.547,0.446,0.536,0.76,0.339,0.597,Baixo,328.75,0.44
310375,2010,0.182,0.002,0.321,0.222,0.708,0.813,0.646,0.676,Muito Alto,536.04,0.41
310380,2010,0.169,0.083,0.185,0.241,0.724,0.871,0.608,0.718,Muito Alto,696.47,0.45
310400,2010,0.188,0.122,0.235,0.205,0.772,0.858,0.709,0.756,Muito Alto,883.88,0.48
310320,2010,0.245,0.066,0.382,0.288,0.694,0.805,0.632,0.659,Alto,482.4,0.42
310340,2010,0.397,0.196,0.478,0.517,0.663,0.821,0.56,0.633,Médio,410.67,0.57
310390,2010,0.254,0.1,0.389,0.273,0.698,0.854,0.574,0.694,Alto,599.3,0.36
310410,2010,0.206,0.089,0.309,0.219,0.683,0.81,0.572,0.687,Alto,576.68,0.38
310420,2010,0.185,0.069,0.242,0.245,0.749,0.874,0.671,0.717,Muito Alto,691.16,0.43
310430,2010,0.226,0.093,0.335,0.251,0.727,0.847,0.649,0.7,Muito Alto,622.83,0.45
310440,2010,0.22,0,0.346,0.313,0.643,0.817,0.505,0.645,Alto,442.45,0.39
310445,2010,0.481,0.378,0.472,0.593,0.583,0.787,0.454,0.553,Muito Baixo,249.75,0.5
310450,2010,0.369,0.183,0.432,0.491,0.655,0.815,0.57,0.607,Médio,349.52,0.55
310460,2010,0.182,0.054,0.281,0.211,0.694,0.858,0.567,0.686,Alto,572.06,0.39
310470,2010,0.448,0.32,0.508,0.516,0.588,0.813,0.424,0.592,Muito Baixo,317.64,0.48
310480,2010,0.343,0.208,0.385,0.437,0.656,0.815,0.557,0.622,Médio,384.1,0.42
310050,2010,0.571,0.742,0.488,0.482,0.61,0.844,0.451,0.595,Baixo,325.42,0.48
310490,2010,0.279,0.146,0.363,0.327,0.68,0.833,0.57,0.664,Alto,497.21,0.49
310510,2010,0.245,0.232,0.278,0.224,0.741,0.87,0.636,0.735,Muito Alto,777.46,0.49
310520,2010,0.429,0.317,0.456,0.515,0.599,0.811,0.454,0.583,Muito Baixo,302,0.46
310530,2010,0.198,0.027,0.319,0.247,0.692,0.802,0.608,0.681,Alto,554.52,0.34
310560,2010,0.239,0.16,0.263,0.295,0.769,0.881,0.687,0.751,Muito Alto,854.27,0.58
310570,2010,0.476,0.284,0.46,0.683,0.624,0.823,0.482,0.613,Baixo,362.62,0.48
310590,2010,0.204,0.016,0.246,0.35,0.734,0.864,0.679,0.675,Muito Alto,535.1,0.48
310540,2010,0.261,0.195,0.291,0.296,0.722,0.858,0.648,0.679,Muito Alto,546.85,0.42
310550,2010,0.349,0.161,0.37,0.515,0.649,0.827,0.534,0.619,Médio,377.1,0.45
310600,2010,0.325,0.157,0.33,0.488,0.674,0.795,0.597,0.644,Médio,440.23,0.4
310610,2010,0.261,0.105,0.317,0.361,0.66,0.83,0.531,0.653,Alto,464.5,0.45
